PLAYER,TYPE,PRICE PAID,TEAM,Year,,,,
Sarabjit Ladda,Bowler,"₹10,00,000",Gujarat Lions,2016,,,,
Umang Sharma,Batsman,"₹10,00,000",Gujarat Lions,2016,,,,
Paras Dogra,Batsman,"₹10,00,000",Gujarat Lions,2016,,,,
Mohit Sharma,Bowler,"₹6,50,00,000",Kings XI Punjab,2016,,,,
Kyle Abbott,Bowler,"₹2,10,00,000",Kings XI Punjab,2016,,,,
K.C. Cariappa,Bowler,"₹80,00,000",Kings XI Punjab,2016,,,,
Marcus Stoinis,All-Rounder,"₹55,00,000",Kings XI Punjab,2016,,,,
Farhaan Behardien,All-Rounder,"₹30,00,000",Kings XI Punjab,2016,,,,
Pardeep Sahu,All-Rounder,"₹10,00,000",Kings XI Punjab,2016,,,,
Armaan Jaffer,Batsman,"₹10,00,000",Kings XI Punjab,2016,,,,
Swapnil Singh,All-Rounder,"₹10,00,000",Kings XI Punjab,2016,,,,
Jaydev Unadkat,Bowler,"₹1,60,00,000",Kolkata Knight Riders,2016,,,,
Ankit Singh Rajpoot,Bowler,"₹1,50,00,000",Kolkata Knight Riders,2016,,,,
John Hastings,Bowler,"₹1,30,00,000",Kolkata Knight Riders,2016,,,,
Jason Holder,All-Rounder,"₹70,00,000",Kolkata Knight Riders,2016,,,,
Colin Munro,All-Rounder,"₹30,00,000",Kolkata Knight Riders,2016,,,,
Rajagopal Sathish,All-Rounder,"₹20,00,000",Kolkata Knight Riders,2016,,,,
Manan Ajay Sharma,All-Rounder,"₹10,00,000",Kolkata Knight Riders,2016,,,,
Jos Buttler,Wicket Keeper,"₹3,80,00,000",Mumbai Indians,2016,,,,
Nathu Singh,Bowler,"₹3,20,00,000",Mumbai Indians,2016,,,,
Tim Southee,Bowler,"₹2,50,00,000",Mumbai Indians,2016,,,,
Krunal Pandya,All-Rounder,"₹2,00,00,000",Mumbai Indians,2016,,,,
Kishore Pramod Kamath,All-Rounder,"₹1,40,00,000",Mumbai Indians,2016,,,,
Deepak Punia,All-Rounder,"₹10,00,000",Mumbai Indians,2016,,,,
Jitesh Sharma,Wicket Keeper,"₹10,00,000",Mumbai Indians,2016,,,,
Mitchell Marsh,All-Rounder,"₹4,80,00,000",Rising Pune Supergiant,2016,,,,
M. Ashwin,Bowler,"₹4,50,00,000",Rising Pune Supergiant,2016,,,,
Ishant Sharma,Bowler,"₹3,80,00,000",Rising Pune Supergiant,2016,,,,
Kevin Pietersen,Batsman,"₹3,50,00,000",Rising Pune Supergiant,2016,,,,
